id,timestamp,where_stranger,when_stranger,where_student,where_friend,coin_same,coin_different,number_0_10,number_list,number_big,demos_status,demos_identities,demos_languages,error_stranger,error_student,error_friend
130,2020-05-03T22:04:09Z,Ex Lub,1899-12-30T12:00:00Z,Reynolds,Our apt,Heads,Heads,7,99,777,NA,NA,NA,NA,NA,NA
131,2020-05-03T22:16:35Z,O'hare,1899-12-30T17:00:00Z,The Reg,Their apartment,Tails,Heads,7,13,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
132,2020-05-03T23:34:47Z,Go to their house,1899-12-30T12:00:00Z,I just don't meet them then,Their dorm,Heads,Heads,10,100,1000000000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
133,2020-05-03T23:38:51Z,the reg,1899-12-30T12:00:00Z,the reg,my apartment,Tails,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
134,2020-05-03T23:55:16Z,no idea,1899-12-30T10:00:00Z,probably Reg,Reg,Heads,Tails,1,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
135,2020-05-04T00:02:52Z,Where we last spoke.,1899-12-30T10:00:00Z,"The middle of the quad, hoping they walk by",My apartment (we are roommates),Tails,Tails,7,7,1000000000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
136,2020-05-04T00:10:42Z,the bean,1899-12-30T13:30:00Z,"1st floor of the reg/in front of the reg, maybe check around on the quad.",my apartment. he is my roomate.,Heads,Tails,7,7,420,NA,NA,NA,NA,NA,NA
137,2020-05-04T01:24:10Z,Reg,1899-12-30T10:00:00Z,The Reg,Campus North,Heads,Heads,5,100,100,NA,NA,NA,NA,NA,NA
138,2020-05-04T02:12:14Z,The Chicago Bean,1899-12-30T12:00:00Z,The Reg,The Reg,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
139,2020-05-04T02:14:49Z,The Bean,1899-12-30T10:00:00Z,Pret,Reg,Heads,Tails,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
140,2020-05-04T03:07:45Z,The main quad,1899-12-30T12:00:00Z,Reynolds Club,Regenstein Library,Heads,Heads,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
141,2020-05-04T03:38:48Z,Their home,1899-12-30T10:00:00Z,Library,Their home,Tails,Heads,5,13,1000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
142,2020-05-04T04:09:24Z,Their office or place of employment,1899-12-30T10:00:00Z,Reynolds club,Our apartment,Heads,Heads,5,100,1000000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
